word	translation	key
έζησα	я жил	ζω
ζω	я живу	ζω
θα ζήσω	я буду жить	ζω
έτρεξα	я побежал	τρέχω
τρέχω	я бегу	τρέχω
θα τρέξω	я побегу	τρέχω
δούλεψα	я работал	δούλεψα
δουλεύω	я работаю	δούλεψα
θα δουλέψω	я буду работать	δούλεψα
αγάπησα	я полюбил	αγαπάω
αγαπάω	я люблю	αγαπάω
θα αγαπήσω	я полюблю	αγαπάω
χόρεψα	я танцевал	χόρεψα
χορεύω	я танцую	χόρεψα
θα χορέψω	я буду танцевать	χόρεψα
έπαιξα	я играл	παίζω
παίζω	я играю	παίζω
θα παίξω	я буду играть	παίζω
μαγείρεψα	я готовил	μαγειρεύω
μαγειρεύω	я готовлю	μαγειρεύω
θα μαγειρέψω	я буду готовить	μαγειρεύω
ξέχασα	я забыл	ξεχνάω
ξεχνάω	я забываю	ξεχνάω
θα ξεχάσω	я забуду	ξεχνάω
πλήρωσα	я заплатил	πληρώνω
πληρώνω	я плачу	πληρώνω
θα πληρώσω	я заплачу	πληρώνω
άνοιξα	я открыл	ανοίγω
ανοίγω	я открываю	ανοίγω
θα ανοίξω	я открою	ανοίγω
έκλεισα	я закрыл	κλείνω
κλείνω	я закрываю	κλείνω
θα κλείσω	я закрою	κλείνω
ήπια	я выпил	πίνω
πίνω	я пью	πίνω
θα πιω	я выпью	πίνω
ταξίδεψα	я путешествовал	ταξιδεύω
ταξιδεύω	я путешествую	ταξιδεύω
θα ταξιδέψω	я буду путешествовать	ταξιδεύω
βοήθησα	я помог	βοηθάω
βοηθάω	я помогаю	βοηθάω
θα βοηθήσω	я помогу	βοηθάω
πήγα	я пошёл	πηγαίνω
πηγαίνω	я иду	πηγαίνω
θα πάω	я пойду	πηγαίνω
πήγες	ты пошёл	πηγαίνω
πηγαίνεις	ты идёшь	πηγαίνω
θα πας	ты пойдёшь	πηγαίνω
πήγε	он/она пошёл(шла)	πηγαίνω
πηγαίνει	он/она идёт	πηγαίνω
θα πάει	он/она пойдёт	πηγαίνω
πήγαμε	мы пошли	πηγαίνω
πηγαίνουμε	мы идём	πηγαίνω
θα πάμε	мы пойдём	πηγαίνω
πήγατε	вы пошли	πηγαίνω
πηγαίνετε	вы идёте	πηγαίνω
θα πάτε	вы пойдёте	πηγαίνω
πήγαν	они пошли	πηγαίνω
πηγαίνουν	они идут	πηγαίνω
θα πάνε	они пойдут	πηγαίνω
έφαγα	я съел	τρώω
τρώω	я ем	τρώω
θα φάω	я съем	τρώω
έφαγες	ты съел	τρώω
τρως	ты ешь	τρώω
θα φας	ты съешь	τρώω
έφαγε	он/она съел(а)	τρώω
τρώει	он/она ест	τρώω
θα φάει	он/она съест	τρώω
φάγαμε	мы съели	τρώω
τρώμε	мы едим	τρώω
θα φάμε	мы съедим	τρώω
φάγατε	вы съели	τρώω
τρώτε	вы едите	τρώω
θα φάτε	вы съедите	τρώω
έφαγαν	они съели	τρώω
τρώνε	они едят	τρώω
θα φάνε	они съедят	τρώω
έγραψα	я написал	γράφω
γράφω	я пишу	γράφω
θα γράψω	я напишу	γράφω
έγραψες	ты написал	γράφω
γράφεις	ты пишешь	γράφω
θα γράψεις	ты напишешь	γράφω
έγραψε	он/она написал(а)	γράφω
γράφει	он/она пишет	γράφω
θα γράψει	он/она напишет	γράφω
γράψαμε	мы написали	γράφω
γράφουμε	мы пишем	γράφω
θα γράψουμε	мы напишем	γράφω
γράψατε	вы написали	γράφω
γράφετε	вы пишете	γράφω
θα γράψετε	вы напишете	γράφω
έγραψαν	они написали	γράφω
γράφουν	они пишут	γράφω
θα γράψουν	они напишут	γράφω
μίλησα	я поговорил	μιλάω
μιλάω	я говорю	μιλάω
θα μιλήσω	я поговорю	μιλάω
μίλησες	ты поговорил	μιλάω
μιλάς	ты говоришь	μιλάω
θα μιλήσεις	ты поговоришь	μιλάω
μίλησε	он/она поговорил(а)	μιλάω
μιλάει	он/она говорит	μιλάω
θα μιλήσει	он/она поговорит	μιλάω
μιλήσαμε	мы поговорили	μιλάω
μιλάμε	мы говорим	μιλάω
θα μιλήσουμε	мы поговорим	μιλάω
μιλήσατε	вы поговорили	μιλάω
μιλάτε	вы говорите	μιλάω
θα μιλήσετε	вы поговорите	μιλάω
μίλησαν	они поговорили	μιλάω
μιλούν	они говорят	μιλάω
θα μιλήσουν	они поговорят	μιλάω
είδα	я увидел	βλέπω
βλέπω	я вижу	βλέπω
θα δω	я увижу	βλέπω
είδες	ты увидел	βλέπω
βλέπεις	ты видишь	βλέπω
θα δεις	ты увидишь	βλέπω
είδε	он/она увидел(а)	βλέπω
βλέπει	он/она видит	βλέπω
θα δει	он/она увидит	βλέπω
είδαμε	мы увидели	βλέπω
βλέπουμε	мы видим	βλέπω
θα δούμε	мы увидим	βλέπω
είδατε	вы увидели	βλέπω
βλέπετε	вы видите	βλέπω
θα δείτε	вы увидите	βλέπω
είδαν	они увидели	βλέπω
βλέπουν	они видят	βλέπω
θα δουν	они увидят	βλέπω
έκανα	я сделал	κάνω
κάνω	я делаю	κάνω
θα κάνω	я сделаю	κάνω
έκανες	ты сделал	κάνω
κάνεις	ты делаешь	κάνω
θα κάνεις	ты сделаешь	κάνω
έκανε	он/она сделал(а)	κάνω
κάνει	он/она делает	κάνω
θα κάνει	он/она сделает	κάνω
κάναμε	мы сделали	κάνω
κάνουμε	мы делаем	κάνω
θα κάνουμε	мы сделаем	κάνω
κάνατε	вы сделали	κάνω
κάνετε	вы делаете	κάνω
θα κάνετε	вы сделаете	κάνω
έκαναν	они сделали	κάνω
κάνουν	они делают	κάνω
θα κάνουν	они сделают	κάνω
